Date,Environment,Frequency(MHz),Cell ID,Group ID,Sector ID,Frequency Error(Hz),RSRP(dBm),Ch Power(dBm),OBW(Hz)
1/09/1965 17:45 น.,466.2145.1.csv,2145,252,84,0,5814.15625,-89,-70,6148886
1/09/1965 17:46 น.,466.2165.1.csv,2165,90,30,0,6868.102539,-94,-77,6208588
1/09/1965 17:37 น.,466.773.1.csv,773,42,14,0,2369.570313,-95,-77,6212043
1/09/1965 17:38 น.,466.945.1.csv,945,39,13,0,2432.658691,-77,-64,6211850
1/09/1965 17:39 น.,466.955.1.csv,955,281,93,2,1548.238525,-77,-61,6144040
1/09/1965 17:50 น.,467.1812.1.csv,1812.5,179,59,2,6010.17041,-74,-58,6177063
1/09/1965 17:50 น.,467.1830.1.csv,1830,90,30,0,5350.440918,-84,-64,6208760
1/09/1965 17:51 น.,467.2120.1.csv,2120,363,121,0,6319.666504,-76,-53,6175204
1/09/1965 17:52 น.,467.2135.1.csv,2135,179,59,2,6950.185547,-78,-60,6177616
1/09/1965 17:52 น.,467.2145.1.csv,2145,90,30,0,7134.810059,-82,-54,6106014
1/09/1965 17:53 น.,467.2165.1.csv,2165,90,30,0,7037.672363,-82,-66,6214258
1/09/1965 17:48 น.,467.773.1.csv,773,42,14,0,2304.369873,-86,-69,6188611
1/09/1965 17:48 น.,467.945.1.csv,945,39,13,0,2378.709961,-74,-52,6183593
1/09/1965 17:49 น.,467.955.1.csv,955,281,93,2,2811.853027,-73,-45,6189590
1/09/1965 16:58 น.,482.1812.1.csv,1812.5,179,59,2,5363.108887,-82,-59,6217887
1/09/1965 17:00 น.,482.2120.1.csv,2120,361,120,1,6080.272461,-80,-61,6183627
1/09/1965 17:01 น.,482.2135.1.csv,2135,179,59,2,6429.335938,-87,-67,6191944
1/09/1965 17:02 น.,482.2145.1.csv,2145,252,84,0,5227.891113,-86,-68,6227780
1/09/1965 17:02 น.,482.2165.1.csv,2165,90,30,0,5983.154785,-91,-72,6211144
1/09/1965 16:56 น.,482.773.1.csv,773,97,32,1,2975.272949,-98,-75,6144528
1/09/1965 16:57 น.,482.945.1.csv,945,41,13,2,2086.459473,-76,-63,6200194
1/09/1965 16:58 น.,482.955.1.csv,955,281,93,2,3767.067139,-84,-60,6137690
1/09/1965 17:07 น.,483.1812.1.csv,1812.5,179,59,2,5801.061523,-88,-72,6178793
1/09/1965 17:08 น.,483.1830.1.csv,1830,29,9,2,5454.052734,-84,-64,6210161
1/09/1965 17:08 น.,483.1842.1.csv,1842.5,153,51,0,4681.579102,-88,-83,6137767
1/09/1965 17:09 น.,483.2120.1.csv,2120,240,80,0,5576.362793,-82,-63,6178250
1/09/1965 17:09 น.,483.2135.1.csv,2135,179,59,2,6047.549805,-92,-66,6203022
1/09/1965 17:10 น.,483.2145.1.csv,2145,252,84,0,7260.294434,-93,-72,6196109
1/09/1965 17:13 น.,483.2165.1.csv,2165,252,84,0,5643.498535,-91,-74,6211387
1/09/1965 17:05 น.,483.773.1.csv,773,74,24,2,2437.546631,-100,-77,6160056
1/09/1965 17:06 น.,483.945.1.csv,945,266,88,2,2713.891602,-82,-63,6213264
1/09/1965 17:07 น.,483.955.1.csv,955,281,93,2,2458.121094,-82,-60,6212236
1/09/1965 16:38 น.,484.18125.1.csv,1812.5,179,59,2,5280.935547,-91,-66,6212072
1/09/1965 16:44 น.,484.1830.1.csv,1830,90,30,0,4772.118652,-94,-71,6208068
1/09/1965 16:41 น.,484.2120.1.csv,2120,363,121,0,5003.239258,-83,-66,6175181
1/09/1965 16:41 น.,484.2135.1.csv,2135,179,59,2,5772.978027,-93,-67,6158063
1/09/1965 16:41 น.,484.2145.1.csv,2145,90,30,0,6264.980469,-90,-75,6191040
1/09/1965 16:42 น.,484.2165.1.csv,2165,90,30,0,4913.673828,-96,-78,6170261
1/09/1965 16:36 น.,484.773.1.csv,773,350,116,2,2045.798462,-106,-83,6211774
1/09/1965 16:36 น.,484.945.1.csv,945,39,13,0,2528.581055,-78,-66,6182576
1/09/1965 16:37 น.,484.955.1.csv,955,281,93,2,2973.229004,-81,-58,6154217
1/09/1965 16:26 น.,485.18125.1.csv,1812.5,179,59,2,4615.852539,-90,-69,6156751
1/09/1965 16:29 น.,485.1830.1.csv,1830,90,30,0,5063.694336,-90,-66,6127751
1/09/1965 16:30 น.,485.2120.1.csv,2120,363,121,0,5632.091309,-92,-69,6229227
1/09/1965 16:31 น.,485.2135.1.csv,2135,179,59,2,6252.945313,-98,-69,6170516
1/09/1965 16:33 น.,485.2145.1.csv,2145,90,30,0,5164.640137,-93,-76,6200982
1/09/1965 16:34 น.,485.2165.1.csv,2165,90,30,0,5721.296875,-102,-84,6203020
1/09/1965 16:23 น.,485.773.1.csv,773,350,116,2,-984.2344971,-107,-85,6203499
1/09/1965 16:24 น.,485.945.1.csv,945,39,13,0,3744.907959,-79,-66,6165388
1/09/1965 16:25 น.,485.955.1.csv,955,281,93,2,3365.108154,-86,-67,6162889
1/09/1965 15:53 น.,486.1812.1.csv,1812.5,179,59,2,4262.080078,-87,-62,6209779
1/09/1965 15:55 น.,486.1830.1.csv,1830,90,30,0,5302.92041,-89,-74,6195066
1/09/1965 15:56 น.,486.2120.1.csv,2120,363,121,0,4983.548828,-89,-71,6186906
1/09/1965 15:57 น.,486.2135.1.csv,2135,179,59,2,5577.292969,-92,-67,6215640
1/09/1965 16:02 น.,486.2145.1.csv,2145,90,30,0,5149.895996,-96,-79,6220982
1/09/1965 16:00 น.,486.2165.1.csv,2165,90,30,0,4803.370605,-97,-68,6181617
1/09/1965 15:50 น.,486.773.1.csv,773,350,116,2,950.3429565,-105,-80,6176906
1/09/1965 15:51 น.,486.945.1.csv,945,39,13,0,1688.667114,-73,-57,6157652
1/09/1965 15:51 น.,486.955.1.csv,955,281,93,2,1882.435181,-80,-51,6174407
1/09/1965 16:06 น.,487.18125.1.csv,1812.5,179,59,2,4817.15332,-95,-66,6046867
1/09/1965 16:06 น.,487.1830.1.csv,1830,90,30,0,4831.024902,-90,-67,6142147
1/09/1965 16:10 น.,487.2120.1.csv,2120,361,120,1,5893.838379,-88,-68,6181825
1/09/1965 16:11 น.,487.2135.1.csv,2135,179,59,2,5666.650879,-94,-78,6208181
1/09/1965 16:13 น.,487.2165.1.csv,2165,90,30,0,5863.864258,-103,-76,6188027
1/09/1965 16:03 น.,487.773.1.csv,773,202,67,1,1578.610962,-108,-85,6184723
1/09/1965 16:04 น.,487.945.1.csv,945,39,13,0,2687.375732,-81,-72,6163819
1/09/1965 16:05 น.,487.955.1.csv,955,281,93,2,2292.842285,-90,-66,6223193
1/09/1965 16:47 น.,488.18250.1.csv,1812.5,179,59,2,5552.542969,-91,-70,6182313
1/09/1965 16:48 น.,488.1830.1.csv,1830,252,84,0,5241.494141,-94,-73,6226407
1/09/1965 16:50 น.,488.2120.1.csv,2120,361,120,1,4151.661133,-89,-68,6187288
1/09/1965 16:50 น.,488.2135.1.csv,2135,179,59,2,6362.820801,-94,-68,6206716
1/09/1965 16:51 น.,488.2145.1.csv,2145,252,84,0,6661.432129,-92,-74,6154533
1/09/1965 16:52 น.,488.2165.1.csv,2165,252,84,0,6304.336914,-102,-83,6202962
1/09/1965 16:45 น.,488.773.1.csv,773,74,24,2,2165.33252,-105,-78,6078330
1/09/1965 16:46 น.,488.945.1.csv,945,266,88,2,3535.358643,-86,-67,6213737
1/09/1965 16:46 น.,488.955.1.csv,955,281,93,2,1803.66394,-93,-66,6208561
1/09/1965 14:19 น.,493.1812.1.csv,1812.5,250,83,1,5171.538086,-83,-64,6203273
1/09/1965 14:22 น.,493.1830.1.csv,1830,265,88,1,6275.035156,-74,-61,6213459
1/09/1965 14:25 น.,493.2120.1.csv,2120,23,7,2,7173.890625,-78,-63,6179146
1/09/1965 14:31 น.,493.2145.1.csv,2145,266,88,2,7270.035156,-72,-55,6165424
1/09/1965 14:16 น.,493.773.1.csv,773,97,32,1,2446.67627,-88,-63,6222171
1/09/1965 14:17 น.,493.945.1.csv,945,266,88,2,3088.476563,-67,-42,6215384
1/09/1965 14:09 น.,494.1812.1.csv,1812.5,251,83,2,6268.666504,-95,-72,6174286
1/09/1965 14:10 น.,494.1830.1.csv,1830,266,88,2,6562.90332,-63,-46,6167135
1/09/1965 14:11 น.,494.2120.1.csv,2120,23,7,2,7206.651367,-68,-55,6201495
1/09/1965 14:13 น.,494.2145.1.csv,2145,266,88,2,7011.828125,-68,-54,6196330
1/09/1965 14:05 น.,494.773.1.csv,773,97,32,1,2840.166016,-101,-79,6175716
1/09/1965 14:07 น.,494.945.1.csv,945,266,88,2,3366.608398,-49,-27,6192053
1/09/1965 13:55 น.,495.1830.1.csv,1830,266,88,2,6422.445313,-51,-37,6187905
1/09/1965 13:56 น.,495.2120.1.csv,2120,23,7,2,7448.883789,-77,-62,6153615
1/09/1965 13:57 น.,495.2145.1.csv,2145,266,88,2,7262.130371,-52,-39,6177717
1/09/1965 13:50 น.,495.773.1.csv,773,97,32,1,2706.37085,-102,-79,6170017
1/09/1965 13:51 น.,495.945.1.csv,945,266,88,2,3150.215576,-51,-24,6201862
1/09/1965 13:40 น.,496.1812.1.csv,1812.5,251,83,2,6578.446289,-91,-67,6122558
1/09/1965 13:40 น.,496.1830.1.csv,1830,266,88,2,6876.220703,-77,-62,6176510
1/09/1965 13:42 น.,496.2120.1.csv,2120,23,7,2,7182.705078,-74,-59,6145671
1/09/1965 13:43 น.,496.2135.1.csv,2135,251,83,2,7177.180664,-84,-70,6197643
1/09/1965 13:43 น.,496.2145.1.csv,2145,266,88,2,7228.076172,-83,-67,6053682
1/09/1965 13:37 น.,496.773.1.csv,773,42,14,0,3107.306152,-100,-77,6170499
1/09/1965 13:38 น.,496.945.1.csv,945,266,88,2,3259.23877,-59,-39,6187603
1/09/1965 13:09 น.,497.1812.1.csv,1812.5,250,83,1,6418.505859,-66,-40,6206314
1/09/1965 13:13 น.,497.2120.1.csv,2120,242,80,2,6696.544922,-69,-53,6174158
1/09/1965 13:14 น.,497.2135.1.csv,2135,250,83,1,7097.814941,-76,-59,6140743
1/09/1965 13:18 น.,497.2165.1.csv,2165,252,84,0,7237.79834,-87,-62,6198065
1/09/1965 13:06 น.,497.773.1.csv,773,202,67,1,2324.906494,-98,-77,6212440
1/09/1965 13:08 น.,497.955.1.csv,955,363,121,0,3144.392578,-67,-40,6199392
1/09/1965 13:21 น.,498.1812.1.csv,1812.5,251,83,2,6356.926758,-74,-54,6172213
1/09/1965 13:23 น.,498.2120.1.csv,2120,243,81,0,7172.546875,-72,-57,6198794
1/09/1965 13:24 น.,498.2135.1.csv,2135,251,83,2,7436.671387,-74,-46,6091151
1/09/1965 13:26 น.,498.2165.1.csv,2165,253,84,1,7378.067871,-86,-62,6145122
1/09/1965 13:19 น.,498.773.1.csv,773,411,137,0,2553.344727,-103,-78,6202043
1/09/1965 13:21 น.,498.955.1.csv,955,365,121,2,2353.521484,-68,-43,5959965
1/09/1965 13:30 น.,499.1812.1.csv,1812.5,251,83,2,6510.51416,-70,-54,6191638
1/09/1965 13:31 น.,499.2120.1.csv,2120,243,81,0,6822.594727,-63,-50,6199532
1/09/1965 13:33 น.,499.2135.1.csv,2135,251,83,2,6375.833984,-69,-50,6163440
1/09/1965 13:35 น.,499.2165.1.csv,2165,253,84,1,7423.844238,-89,-68,6183888
1/09/1965 13:28 น.,499.773.1.csv,773,411,137,0,2394.118164,-93,-68,6187958
1/09/1965 13:29 น.,499.955.1.csv,955,365,121,2,3249.9021,-66,-43,6197813
10/10/1965 13:48 น.,10.1812.1.csv,1812.5,247,82,1,7218.96875,-60,-37,6208859
10/10/1965 13:49 น.,10.1830.1.csv,1830,415,138,1,7094.066895,-66,-52,6221992
10/10/1965 13:47 น.,10.773.1.csv,773,278,92,2,3074.510498,-91,-65,6227428
10/10/1965 13:48 น.,10.955.1.csv,955,497,165,2,4141.01123,-53,-38,6183942
10/10/1965 13:56 น.,11.1812.1.csv,1812.5,247,82,1,7180.521484,-75,-46,5848181
10/10/1965 13:56 น.,11.1830.1.csv,1830,415,138,1,7220.072754,-72,-57,6207261
10/10/1965 13:57 น.,11.1842.1.csv,1842.5,274,91,1,7376.140137,-76,-53,4400378
10/10/1965 13:54 น.,11.773.1.csv,773,278,92,2,3151.277344,-84,-66,6150615
10/10/1965 13:55 น.,11.955.1.csv,955,497,165,2,3667.152832,-63,-43,6176911
10/10/1965 14:03 น.,12.1812.1.csv,1812.5,248,82,2,7237.137695,-69,-50,6202550
10/10/1965 14:03 น.,12.1830.1.csv,1830,414,138,0,7136.336914,-68,-55,6213323
10/10/1965 14:03 น.,12.1842.1.csv,1842.5,274,91,1,6243.807129,-76,-70,4623011
10/10/1965 14:01 น.,12.773.1.csv,773,278,92,2,3276.276123,-83,-63,6171229
10/10/1965 14:02 น.,12.955.1.csv,955,497,165,2,3867.728027,-67,-50,6213661
10/10/1965 13:11 น.,13.1812.1.csv,1812.5,247,82,1,6204.74707,-65,-45,6086200
10/10/1965 13:11 น.,13.1830.1.csv,1830,416,138,2,6190.094238,-67,-48,6205558
10/10/1965 13:12 น.,13.1842.1.csv,1842.5,274,91,1,6571.425781,-78,-71,5458543
10/10/1965 13:13 น.,13.2135.1.csv,2135,247,82,1,7245.72998,-63,-41,6216192
10/10/1965 13:13 น.,13.2145.1.csv,2145,415,138,1,7274.972168,-67,-52,6217751
10/10/1965 13:14 น.,13.2165.1.csv,2165,415,138,1,7084.919922,-69,-51,6171731
10/10/1965 13:11 น.,13.955.1.csv,955,497,165,2,4121.018555,-63,-44,6201791
10/10/1965 13:03 น.,14.1812.1.csv,1812.5,247,82,1,5658.48291,-67,-42,6171095
10/10/1965 13:04 น.,14.1830.1.csv,1830,415,138,1,5741.024414,-63,-51,6206678
10/10/1965 13:04 น.,14.1842.1.csv,1842.5,274,91,1,5704.259277,-80,-63,4481719
10/10/1965 13:07 น.,14.2135.1.csv,2135,247,82,1,6910.164551,-63,-38,6192845
10/10/1965 13:08 น.,14.2145.1.csv,2145,415,138,1,7164.733887,-73,-57,6207023
10/10/1965 13:08 น.,14.2165.1.csv,2165,415,138,1,7359.427246,-77,-59,6193958
10/10/1965 13:01 น.,14.773.1.csv,773,278,92,2,2315.966797,-85,-59,6024347
10/10/1965 13:03 น.,14.955.1.csv,955,497,165,2,801.8625488,-58,-33,6151333
10/10/1965 13:17 น.,15.1812.1.csv,1812.5,246,82,0,6430.563965,-74,-54,6171858
10/10/1965 13:17 น.,15.1830.1.csv,1830,415,138,1,6639.10791,-71,-55,6197455
10/10/1965 13:19 น.,15.2135.1.csv,2135,246,82,0,7304.30957,-74,-58,6209736
10/10/1965 13:15 น.,15.773.1.csv,773,278,92,2,2690.975586,-94,-66,5773838
10/10/1965 13:16 น.,15.955.1.csv,955,447,149,0,3653.898682,-68,-44,6202583
10/10/1965 13:23 น.,16.1812.1.csv,1812.5,246,82,0,6564.329102,-73,-57,6147143
10/10/1965 13:24 น.,16.1830.1.csv,1830,416,138,2,6937.835449,-75,-60,6201948
10/10/1965 13:24 น.,16.1842.1.csv,1842.5,274,91,1,7116.579102,-78,-57,4387095
10/10/1965 13:21 น.,16.773.1.csv,773,278,92,2,2874.954834,-65,-42,6167224
10/10/1965 13:22 น.,16.955.1.csv,955,447,149,0,3722.442627,-70,-48,6212646
10/10/1965 14:59 น.,2.1812.1.csv,1812.5,247,82,1,7028.085449,-78,-51,6206538
10/10/1965 14:59 น.,2.1830.1.csv,1830,415,138,1,7130.120117,-82,-59,6149537
10/10/1965 15:00 น.,2.1842.1.csv,1842.5,274,91,1,7084.994141,-89,-69,4529496
10/10/1965 15:03 น.,2.2135.1.csv,2135,247,82,1,5950.140625,-83,-66,6212438
10/10/1965 14:58 น.,2.773.1.csv,773,278,92,2,2968.319336,-75,-58,6121895
10/10/1965 14:58 น.,2.955.1.csv,955,497,165,2,548.1334839,-72,-55,6126425
10/10/1965 14:51 น.,22.1812.1.csv,1812.5,247,82,1,6330.168457,-84,-61,6086496
10/10/1965 14:51 น.,22.1830.1.csv,1830,415,138,1,6850.271973,-83,-59,6207112
10/10/1965 14:52 น.,22.1842.1.csv,1842.5,274,91,1,5875.571777,-85,-64,4482702
10/10/1965 14:49 น.,22.773.1.csv,773,278,92,2,2608.158203,-83,-62,6091283
10/10/1965 14:50 น.,22.955.1.csv,955,497,165,2,-2336.43457,-75,-52,6131369
10/10/1965 14:09 น.,23.1812.1.csv,1812.5,248,82,2,6910.166504,-69,-47,6159507
10/10/1965 14:09 น.,23.1830.1.csv,1830,415,138,1,2909.641113,-75,-59,6200804
10/10/1965 14:10 น.,23.1842.1.csv,1842.5,274,91,1,6955.888672,-84,-66,4468525
10/10/1965 14:08 น.,23.773.1.csv,773,278,92,2,2981.158447,-86,-58,6023078
10/10/1965 14:08 น.,23.955.1.csv,955,497,165,2,3528.713623,-72,-46,6204691
10/10/1965 14:15 น.,24.1812.1.csv,1812.5,248,82,2,6798.32373,-81,-58,6218139
10/10/1965 14:17 น.,24.1842.1.csv,1842.5,274,91,1,6785.369141,-85,-61,4333559
10/10/1965 14:13 น.,24.773.1.csv,773,278,92,2,2924.074463,-97,-67,6198142
10/10/1965 14:14 น.,24.955.1.csv,955,497,165,2,1114.133179,-72,-59,6177037
10/10/1965 14:21 น.,25.1812.1.csv,1812.5,247,82,1,6874.79248,-80,-50,6175265
10/10/1965 14:23 น.,25.1842.1.csv,1842.5,274,91,1,7124.156738,-87,-59,4478982
10/10/1965 14:21 น.,25.773.1.csv,773,278,92,2,2977.991455,-78,-49,6211079
10/10/1965 14:21 น.,25.955.1.csv,955,497,165,2,3806.706299,-70,-53,6087510
10/10/1965 14:28 น.,26.1812.1.csv,1812.5,248,82,2,6890.095215,-82,-58,6144924
10/10/1965 14:31 น.,26.1830.1.csv,1830,323,107,2,5704.853516,-89,-69,6165213
10/10/1965 14:31 น.,26.1842.1.csv,1842.5,274,91,1,6645.546387,-90,-72,4992944
10/10/1965 14:33 น.,26.2135.1.csv,2135,248,82,2,6425.072266,-86,-70,6184770
10/10/1965 14:27 น.,26.773.1.csv,773,278,92,2,2980.393311,-79,-42,6012520
10/10/1965 14:28 น.,26.955.1.csv,955,497,165,2,3137.138184,-83,-53,6219763
10/10/1965 14:38 น.,27.1812.1.csv,1812.5,247,82,1,5600.872559,-93,-68,5891796
10/10/1965 14:39 น.,27.1830.1.csv,1830,323,107,2,5797.034668,-85,-70,6129929
10/10/1965 14:40 น.,27.1842.1.csv,1842.5,274,91,1,7445.616211,-85,-72,4856284
10/10/1965 14:41 น.,27.2135.1.csv,2135,247,82,1,7159.807617,-85,-62,6034952
10/10/1965 14:42 น.,27.2145.1.csv,2145,503,445,2,-2278.145264,-88,-73,6196204
10/10/1965 14:37 น.,27.773.1.csv,773,278,92,2,2877.945557,-68,-51,6217642
10/10/1965 14:38 น.,27.955.1.csv,955,497,165,2,3415.789063,-84,-60,6194989
10/10/1965 14:45 น.,28.1812.1.csv,1812.5,247,82,1,7350.353516,-86,-68,6216422
10/10/1965 14:46 น.,28.1830.1.csv,1830,323,107,2,7021.464844,-92,-73,6198169
10/10/1965 14:46 น.,28.1842.1.csv,1842.5,274,91,1,7208.770996,-85,-69,4483707
10/10/1965 14:47 น.,28.2120.1.csv,2120,369,123,0,7097.506836,-85,-66,6139976
10/10/1965 14:47 น.,28.2135.1.csv,2135,247,82,1,6487.234863,-88,-77,6137413
10/10/1965 14:44 น.,28.773.1.csv,773,278,92,2,2717.045654,-71,-51,6205624
10/10/1965 14:45 น.,28.955.1.csv,955,497,165,2,3823.183594,-90,-66,6143123
10/10/1965 17:13 น.,29.1812.1.csv,1812.5,246,82,0,5127.800293,-72,-54,6122082
10/10/1965 17:15 น.,29.1830.1.csv,1830,416,138,2,5116.532715,-71,-47,6164546
10/10/1965 17:16 น.,29.1842.1.csv,1842.5,153,51,0,6380.856934,-84,-65,4408186
10/10/1965 17:17 น.,29.2120.1.csv,2120,369,123,0,6447.469727,-90,-69,6192914
10/10/1965 17:17 น.,29.2135.1.csv,2135,246,82,0,6281.112305,-79,-56,5725652
10/10/1965 17:17 น.,29.2145.1.csv,2145,416,138,2,6270.007813,-78,-59,6202924
10/10/1965 17:18 น.,29.2165.1.csv,2165,416,138,2,6521.040039,-82,-59,6167148
10/10/1965 17:12 น.,29.773.1.csv,773,278,92,2,2217.09668,-80,-52,6181396
10/10/1965 17:13 น.,29.955.1.csv,955,497,165,2,5841.639648,-58,-42,6218212
10/10/1965 17:48 น.,3.1812.1.csv,1812.5,247,82,1,5470.464355,-96,-74,6107449
10/10/1965 17:48 น.,3.1830.1.csv,1830,415,138,1,5394.518066,-88,-74,6208044
10/10/1965 17:49 น.,3.1842.1.csv,1842.5,274,91,1,5522.154785,-91,-70,4424408
10/10/1965 17:49 น.,3.2120.1.csv,2120,369,123,0,6847.992676,-84,-62,6212353
10/10/1965 17:49 น.,3.2135.1.csv,2135,247,82,1,7190.643555,-88,-66,6188084
10/10/1965 17:50 น.,3.2145.1.csv,2145,415,138,1,7054.583496,-94,-73,6188868
10/10/1965 17:50 น.,3.2165.1.csv,2165,415,138,1,7500.818359,-96,-76,6159672
10/10/1965 17:46 น.,3.773.1.csv,773,278,92,2,2503.955078,-72,-42,6176352
10/10/1965 17:47 น.,3.955.1.csv,955,497,165,2,2910.368164,-87,-69,6200914
10/10/1965 17:20 น.,30.1812.1.csv,1812.5,246,82,0,5602.027344,-73,-49,5855576
10/10/1965 17:21 น.,30.1830.1.csv,1830,415,138,1,3680.276123,-76,-62,6209443
10/10/1965 17:21 น.,30.1842.1.csv,1842.5,274,91,1,5986.977051,-84,-61,4479795
10/10/1965 17:24 น.,30.2120.1.csv,2120,370,123,1,6835.457031,-88,-67,6190898
10/10/1965 17:24 น.,30.2135.1.csv,2135,246,82,0,6979.088379,-74,-50,6179681
10/10/1965 17:25 น.,30.2145.1.csv,2145,415,138,1,6642.312012,-76,-52,6197098
10/10/1965 17:25 น.,30.2165.1.csv,2165,415,138,1,6761.845703,-78,-51,6156714
10/10/1965 17:19 น.,30.773.1.csv,773,278,92,2,2349.227783,-88,-58,6118364
10/10/1965 17:20 น.,30.955.1.csv,955,447,149,0,1122.42627,-65,-45,6170049
10/10/1965 17:29 น.,31.1812.1.csv,1812.5,247,82,1,5796.742188,-88,-64,6077962
10/10/1965 17:29 น.,31.1830.1.csv,1830,323,107,2,5784.977051,-90,-74,6213063
10/10/1965 17:30 น.,31.1842.1.csv,1842.5,274,91,1,5781.725098,-79,-58,4496029
10/10/1965 17:30 น.,31.2120.1.csv,2120,369,123,0,6748.250488,-88,-62,6216057
10/10/1965 17:30 น.,31.2135.1.csv,2135,246,82,0,7313.041504,-91,-67,6156144
